source_category,src_orders_6mo,src_revenue_6mo,recommended_sku,recommended_name,recommended_price,recommended_categories,item_orders_6mo,item_units_6mo,item_revenue_6mo,llm_valid,llm_confidence,relationship_type,llm_reason
Structural Fire Helmets,38,53729.19,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.99,unrelated,"Structural fire helmets are fire/rescue PPE, while the FNH SCAR 17S rifle and magazine are law-enforcement/military firearms items. They are not used together in the same job function and the firearm is not a required or common add-on for a firefighter purchasing a helmet."
Structural Fire Helmets,38,53729.19,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.98,unrelated,"Structural fire helmets are fire/rescue PPE, while a Mossberg ghost ring sight kit is a firearms accessory for law enforcement/tactical use. They are not used together in the same job function and a firefighter purchasing a helmet would not realistically need a shotgun sight kit as a related add-on."
Cairns Helmets,37,44153.33,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.98,unrelated,"Cairns helmets are fire/rescue PPE, while the Mossberg 702 Plinkster is a firearm accessory bundle for recreational/training shooting. They are not used together in the same job function and a customer purchasing a fire helmet would not realistically need a .22LR rifle/magazine/loader as a related add-on."
Top Helmets,37,49611.37,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.97,unrelated,"Top helmets are protective headgear used in fire/rescue, industrial safety, or tactical PPE contexts, while a Mossberg 702 Plinkster rifle magazine/loader is a firearms accessory. They are not required accessories for each other and do not typically belong to the same job-function purchase flow, making the pairing feel random and unprofessional."
Cairns Helmets,37,44153.33,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.95,unrelated,"Cairns helmets are fire/rescue PPE, while a Mossberg Flex stock adapter is a firearm accessory for a shotgun. They are not used together in the same job function and a helmet buyer would not realistically need a shotgun conversion kit as part of that purchase."
Top Helmets,37,49611.37,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.95,unrelated,"A Top Helmet (head protection) and a Mossberg Flex Conversion Kit/stock adapter (shotgun accessory) serve different purposes and are not required accessories or commonly paired items in the same purchase flow. Even within law enforcement, helmet purchases do not typically imply a need for a specific shotgun stock conversion kit."
Top Helmets,37,49611.37,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,False,0.78,unrelated,"A top helmet is head protection, while the Deluxe ""Edge"" Upgraded Wack Pack is not a required helmet accessory or a standard complementary item used with helmets in the same workflow. Without a clear functional link (e.g., helmet-mounted light, face shield, chin strap), this reads as a random add-on rather than a practical upsell."
Cairns Helmets,37,44153.33,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.98,unrelated,"Cairns helmets are fire/rescue PPE, while an FNH SCAR 17S rifle magazine is a law enforcement/military firearm accessory. They are not used together in the same job function and the pairing is not a practical or required add-on for a helmet purchase."
Top Helmets,37,49611.37,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.97,unrelated,"Top helmets are protective headgear used across rescue/industrial/tactical contexts, while an FNH SCAR 17S rifle magazine is a firearms-specific accessory. They are not required together, not part of the same standard kit purchase flow, and the pairing is professionally random for most helmet buyers."
Cairns Helmets,37,44153.33,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.95,unrelated,"Cairns helmets are fire/rescue PPE, while a Mossberg ghost ring sight kit is a firearms accessory for law enforcement/tactical use. They are not used together in the same job function and there is no practical accessory or kit-completion relationship."
Top Helmets,37,49611.37,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.95,unrelated,"Top helmets are protective headgear (fire/rescue/industrial), while a Mossberg ghost ring sight kit is a firearm accessory for a shotgun. They are not used together as part of the same kit or job function and there is no required or practical dependency between them."
MSA Cairns Helmets,36,42600.74,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.98,unrelated,"MSA Cairns helmets are fire/rescue PPE, while the Mossberg 702 Plinkster is a firearm for law enforcement/tactical or recreational use. They are not used together in the same job function, and a helmet buyer would not realistically need a .22LR rifle/magazine as a required accessory or kit completion item."
MSA Cairns Helmets,36,42600.74,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.96,unrelated,"MSA Cairns helmets are fire/rescue PPE, while a Mossberg Flex 12GA stock adapter is a firearms accessory for law enforcement/tactical use. They are not required accessories for each other, not typically used together in the same kit, and represent different job functions, making the pairing feel random."
MSA Cairns Helmets,36,42600.74,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.98,unrelated,"MSA Cairns helmets are fire/rescue PPE, while an FNH SCAR 17S magazine is a firearms accessory for law enforcement/military use. They are not used together in the same job function and the pairing is not a required accessory, kit completion, or maintenance relationship—it's effectively random for most buyers."
MSA Cairns Helmets,36,42600.74,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.97,unrelated,"MSA Cairns Helmets are fire/rescue PPE, while the Mossberg Ghost Ring Sight Kit is a firearms accessory for shotguns (law enforcement/tactical). They are not used together in the same job function and there is no practical accessory or kit-completion relationship."
MSA Cairns Helmets,36,42600.74,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,False,0.78,unrelated,"Both items are used in fire/rescue, but a Cairns helmet purchase does not directly imply a need for a specific extrication/rescue tool. The rescue tool is not an accessory to the helmet and is typically purchased based on apparatus/tool cache needs rather than PPE selection, making this feel more like a random cross-category add-on than a practical upsell."
Traditional Leather Helmets,34,47362.31,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.98,unrelated,"Traditional leather helmets are fire/rescue PPE, while the Mossberg 702 Plinkster is a firearm product for recreational/LE contexts. They are not used together in the same job function and a firefighter buying a helmet would not realistically need a .22LR rifle/magazine as an upsell."
Traditional Leather Helmets,34,47362.31,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.93,unrelated,"Traditional leather helmets are fire/rescue PPE, while a Mossberg Flex conversion kit is a firearm accessory for law enforcement/tactical use. They are not required accessories for each other and are typically purchased for different job functions, making the pairing feel random rather than practical."
Traditional Leather Helmets,34,47362.31,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.98,unrelated,"Traditional leather helmets are fire/rescue PPE, while the FNH SCAR 17S is a tactical firearm for law enforcement/military use. They are not required accessories, not used together in the same job function, and the pairing is random for a buyer of firefighting helmets."
Traditional Leather Helmets,34,47362.31,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.97,unrelated,"Traditional leather helmets are fire/rescue PPE, while a Mossberg ghost ring sight kit is a firearm accessory for law enforcement/tactical use. They are not used together in the same job function and the pairing is effectively random for a buyer of a fire helmet."
A Few of Our Favorite Things,29,18359.58,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.86,unrelated,"""A Few of Our Favorite Things"" is a generic/curated assortment category and does not imply a firearms purchase intent. Recommending a Mossberg 702 Plinkster .22LR magazine & loader is not a required accessory or common paired add-on for that source category and is likely random across job functions."
A Few of Our Favorite Things,29,18359.58,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.86,unrelated,"""A Few of Our Favorite Things"" is a generic/curated category and does not imply a specific job function or primary item that would require or naturally pair with a Mossberg Flex Conversion Kit (a shotgun stock adapter). The recommendation feels random rather than a required accessory or common field pairing."
A Few of Our Favorite Things,29,18359.58,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,False,0.62,unrelated,"""A Few of Our Favorite Things"" is a vague, mixed/curated category that doesn’t indicate a specific job function or primary item, while the ""Deluxe Edge Upgraded Wack Pack"" is a specific fire/rescue tool kit. Without a clear source product context, this reads as a random pairing rather than a logical accessory/completion recommendation."
A Few of Our Favorite Things,29,18359.58,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.86,unrelated,"""A Few of Our Favorite Things"" is a generic/curated assortment category and does not indicate a specific job function or primary item that would logically drive a need for an FNH SCAR 17S 10-round magazine. The pairing appears random rather than a required accessory or common field bundle."
A Few of Our Favorite Things,29,18359.58,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.86,unrelated,"""A Few of Our Favorite Things"" is a generic/featured assortment category and does not indicate a specific job function or product type that would logically require or pair with a Mossberg Ghost Ring Sight Kit. The sight kit is a firearm-specific accessory and would only be relevant if the customer is purchasing a compatible Mossberg shotgun or related firearm components."
A Few of Our Favorite Things,29,18359.58,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,False,0.78,unrelated,"""A Few of Our Favorite Things"" is a broad, non-specific promotional/miscellaneous category, while the Channellock 87 Rescue Tool is a specialized fire/rescue extrication tool. Without a clear shared job function or kit context, this reads as a random pairing rather than a required accessory or commonly used together item."
Gloves,28,2829.55,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.93,unrelated,"Gloves are a broad PPE/apparel item used across many roles, while a Mossberg 702 Plinkster firearm magazine/loader is a specific firearms accessory. They are not a required accessory to each other and do not reliably serve the same job function for most glove purchases, making the pairing feel random rather than a practical kit completion."
Accessories,28,1978.85,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.86,unrelated,"""Accessories"" is too broad and not specifically tied to firearms; recommending a Mossberg 702 Plinkster magazine/loader from a generic accessories purchase is likely random and not a required or commonly paired add-on unless the customer is already buying that specific firearm/platform."
Gloves,28,2829.55,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.93,unrelated,"Gloves are a broad PPE/apparel item used across many roles, while a Mossberg Flex conversion kit is a specific firearms accessory for a shotgun platform. They are not a required accessory to each other and don’t form a practical kit/outfit pairing at the category level, making the recommendation feel random for most glove purchases."
Accessories,28,1978.85,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.86,unrelated,"""Accessories"" is too broad and not tied to a specific platform; a Mossberg Flex Conversion Kit (shotgun stock adapter) is only relevant to customers buying Mossberg Flex shotgun components. Without that context, the pairing is effectively random and not a required or commonly paired add-on."
Gloves,28,2829.55,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,False,0.86,unrelated,"Gloves are a broad PPE/apparel item used across many roles, while the Deluxe ""Edge"" Upgraded Wack Pack is a specialized fire/rescue tool/kit. They are not a required accessory to each other and don’t reliably get purchased together unless the gloves are specifically firefighting/extrication gloves and the customer is building a forcible-entry/extrication kit."
Gloves,28,2829.55,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.98,unrelated,"Gloves are general PPE/tactical apparel used across many roles, while an FNH SCAR 17S rifle with magazine is a specific firearm purchase. They are not a required accessory relationship, not a typical kit-completion pairing at category level, and would be random for most glove buyers."
Accessories,28,1978.85,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.9,unrelated,"“Accessories” is too broad and not inherently tied to a specific firearm platform; recommending a SCAR 17S 10-round magazine is only sensible when the customer is buying SCAR 17S-specific items. As a general category-to-category upsell, this is random and not reliably complementary."
Gloves,28,2829.55,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.92,unrelated,"Gloves are a broad PPE/apparel item used across many roles, while a Mossberg ghost ring sight kit is a firearm-specific accessory for a shotgun. There is no direct, required, or typical field-use linkage between buying gloves and needing a shotgun sight kit, making this feel random and job-function mismatched for most glove purchases."
Accessories,28,1978.85,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.86,unrelated,"""Accessories"" is too broad and spans many job functions; a Mossberg ghost ring sight kit is a firearm-specific upgrade relevant mainly to law enforcement/tactical users. Without knowing the accessory is for a Mossberg 500/590 shotgun, this pairing is not reliably complementary and will feel random for most accessory purchases."
Gloves,28,2829.55,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,False,0.78,unrelated,"Gloves are a broad PPE item used across many roles, while the Channellock 87 Rescue Tool is a specialized extrication/rescue tool. They may be used in the same incident, but gloves do not imply a need for a specific rescue tool, making the pairing feel random at category level."
Accessories,28,1978.85,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,False,0.74,unrelated,"""Accessories"" is too broad and not tied to a specific job function or primary item; a Channellock 87 Rescue Tool is a specialized fire/rescue extrication tool and isn’t a required or typical add-on to generic accessories purchases. This reads as a random cross-category suggestion unless the accessory context is explicitly rescue-tool related."
Accessories,28,1978.85,GLOCK-MF06781,Glock 26 9mm 10 Round OEM Factory Magazine with +2 Extension,33.39,,3,7,212.73,False,0.86,unrelated,"""Accessories"" is too broad and not inherently tied to Glock 26 magazines; without knowing the accessory is Glock-related (e.g., holster, mag pouch, firearm), this reads as a random pairing and not a required or commonly bundled add-on for most accessory purchases."
Personal Protective Equipment,24,29385.87,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.95,unrelated,"Personal Protective Equipment is a broad safety/PPE purchase, while a Mossberg 702 Plinkster magazine & loader is a firearms accessory. They are not required together, not part of the same typical PPE job function, and the pairing feels random rather than a practical kit completion."
Personal Protective Equipment,24,29385.87,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.93,unrelated,"Personal Protective Equipment is a broad safety/PPE purchase, while a Mossberg Flex Conversion Kit is a firearms accessory for a specific shotgun platform. They are not required accessories for each other and typically serve different procurement needs and job functions, making the pairing feel random rather than practical."
Personal Protective Equipment,24,29385.87,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,False,0.86,unrelated,"Personal Protective Equipment is a broad safety category (e.g., gloves, eye/ear protection, respirators). TheFireStore Deluxe ""Edge"" Upgraded Wack Pack appears to be a specialty fire/EMS kit/bag product and is not a required accessory or typical add-on to generic PPE purchases. The pairing is too job-function-specific and feels random at the category level."
Personal Protective Equipment,24,29385.87,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.97,unrelated,"Personal Protective Equipment is a broad safety/PPE purchase (industrial/medical/fire), while an FNH SCAR 17S rifle magazine is a firearms accessory for a specific law-enforcement/military function. They are not required accessories to each other, not commonly used together as a kit, and the pairing is effectively random for most PPE buyers."
Personal Protective Equipment,24,29385.87,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.95,unrelated,"Personal Protective Equipment is a broad safety/PPE purchase, while a Mossberg ghost ring sight kit is a firearm accessory specific to shotgun users. They are not required together, not part of the same kit/outfit, and would be a random cross-sell for most PPE buyers."
Personal Protective Equipment,24,29385.87,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,False,0.86,unrelated,"Personal Protective Equipment is a broad category (gloves, eye/respiratory protection, hi-vis, etc.) used across many roles, while the Channellock 87 Rescue Tool is a specialized rescue/extrication tool. PPE buyers may not be in a rescue/extrication role, so this pairing is not a reliable, job-function-consistent upsell at the category level."
